Address:,USB0::0x2A8D::0x0396::CN60117105::0::INSTR,,Analog Channels,,,
Model:,DSOX1204G,,Time (s),1 (VOLT),3 (VOLT),
,,,0.140839578554,0,-0.403266414999962,
,,,0.140948078771,0,-0.604271441698074,
,,,0.141056578988,0.40201011300087,-0.604271441698074,
,,,0.141165079205,0,-0.604271441698074,
,,,0.141273579422,0,-0.604271441698074,
,,,0.141382079639,0.40201011300087,-0.604271441698074,
,,,0.141490579856,0,-0.604271441698074,
,,,0.141599080073,0.40201011300087,-0.403266414999962,
,,,0.14170758029,0.40201011300087,-0.604271441698074,
,,,0.141816080507,0,-0.604271441698074,
,,,0.141924580724,0.40201011300087,-0.604271441698074,
,,,0.142033080941,0,-0.604271441698074,
,,,0.142141581158,0.40201011300087,-0.604271441698074,
,,,0.142250081375,0.40201011300087,-0.604271441698074,
,,,0.142358581592,0,-0.604271441698074,
,,,0.142467081809,0,-0.403266414999962,
,,,0.142575582026,0,-0.604271441698074,
,,,0.142684082243,0,-0.403266414999962,
,,,0.14279258246,0.40201011300087,-0.403266414999962,
,,,0.142901082677,0,-0.403266414999962,
,,,0.143009582894,0.40201011300087,-0.403266414999962,
,,,0.143118083111,0.40201011300087,-0.403266414999962,
,,,0.143226583328,0.40201011300087,-0.403266414999962,
,,,0.143335083545,0.40201011300087,-0.403266414999962,
,,,0.143443583762,0.40201011300087,-0.403266414999962,
,,,0.143552083979,0,-0.604271441698074,
,,,0.143660584196,0.40201011300087,-0.403266414999962,
,,,0.143769084413,0,-0.403266414999962,
,,,0.14387758463,0,-0.403266414999962,
,,,0.143986084847,0,-0.403266414999962,
,,,0.144094585064,0.40201011300087,-0.403266414999962,
,,,0.144203085281,0.40201011300087,-0.403266414999962,
,,,0.144311585498,0.40201011300087,-0.403266414999962,
,,,0.144420085715,0.40201011300087,-0.403266414999962,
,,,0.144528585932,0,-0.403266414999962,
,,,0.144637086149,0,-0.403266414999962,
,,,0.144745586366,0,-0.403266414999962,
,,,0.144854086583,0,-0.403266414999962,
,,,0.1449625868,0.40201011300087,-0.403266414999962,
,,,0.145071087017,0.40201011300087,-0.403266414999962,
,,,0.145179587234,0,-0.403266414999962,
,,,0.145288087451,0.40201011300087,-0.403266414999962,
,,,0.145396587668,0.40201011300087,-0.403266414999962,
,,,0.145505087885,0,-0.604271441698074,
,,,0.145613588102,0,-0.403266414999962,
,,,0.145722088319,0,-0.403266414999962,
,,,0.145830588536,0,-0.403266414999962,
,,,0.145939088753,0.40201011300087,-0.403266414999962,
,,,0.14604758897,0,-0.403266414999962,
,,,0.146156089187,0,-0.403266414999962,
,,,0.146264589404,0.40201011300087,-0.604271441698074,
,,,0.146373089621,0,-0.604271441698074,
,,,0.146481589838,0,-0.604271441698074,
,,,0.146590090055,0,-0.403266414999962,
,,,0.146698590272,0,-0.403266414999962,
,,,0.146807090489,0.40201011300087,-0.604271441698074,
,,,0.146915590706,0.40201011300087,-0.604271441698074,
,,,0.147024090923,0,-0.604271441698074,
,,,0.14713259114,0,-0.604271441698074,
,,,0.147241091357,0.40201011300087,-0.604271441698074,
,,,0.147349591574,0.40201011300087,-0.403266414999962,
,,,0.147458091791,0.40201011300087,-0.604271441698074,
,,,0.147566592008,0.40201011300087,-0.604271441698074,
,,,0.147675092225,0,-0.604271441698074,
,,,0.147783592442,0,-0.604271441698074,
,,,0.147892092659,0,-0.604271441698074,
,,,0.148000592876,0.40201011300087,-0.403266414999962,
,,,0.148109093093,0,-0.604271441698074,
,,,0.14821759331,0.40201011300087,-0.604271441698074,
,,,0.148326093527,0,-0.403266414999962,
,,,0.148434593744,0,-0.403266414999962,
,,,0.148543093961,0.40201011300087,-0.604271441698074,
,,,0.148651594178,0.40201011300087,-0.403266414999962,
,,,0.148760094395,0,-0.403266414999962,
,,,0.148868594612,0,-0.403266414999962,
,,,0.148977094829,0,-0.604271441698074,
,,,0.149085595046,0,-0.604271441698074,
,,,0.149194095263,0,-0.403266414999962,
,,,0.14930259548,0,-0.604271441698074,
,,,0.149411095697,0.40201011300087,-0.403266414999962,
,,,0.149519595914,0.40201011300087,-0.403266414999962,
,,,0.149628096131,0,-0.403266414999962,
,,,0.149736596348,0,-0.604271441698074,
,,,0.149845096565,0.40201011300087,-0.403266414999962,
,,,0.149953596782,0,-0.403266414999962,
,,,0.150062096999,0,-0.403266414999962,
,,,0.150170597216,0,-0.403266414999962,
,,,0.150279097433,0,-0.403266414999962,
,,,0.15038759765,0.40201011300087,-0.403266414999962,
,,,0.150496097867,0,-0.604271441698074,
,,,0.150604598084,0,-0.403266414999962,
,,,0.150713098301,0,-0.403266414999962,
,,,0.150821598518,0,-0.403266414999962,
,,,0.150930098735,0,-0.403266414999962,
,,,0.151038598952,0,-0.604271441698074,
,,,0.151147099169,0,-0.604271441698074,
,,,0.151255599386,0.40201011300087,-0.604271441698074,
,,,0.151364099603,0,-0.403266414999962,
,,,0.15147259982,0.40201011300087,-0.403266414999962,
,,,0.151581100037,0,-0.604271441698074,
